AREAACRES,AREASQKM,STATES,HUC12,NAME,TOHUC,PctCarbKarstH8,PctVolcKarstH8,AquiRichH8,vrm_mean,MeanSBDH8_rev,hli_mean_rev,hydroSumW,hydroCompositeStd,PctChange_Bio19_MEAN_H8,MeanDifSWEH8,Diff_bio8_rev,Diff_bio9_rev,MeanDifPNVH8_rev,MacroSumW,MacroCompositeStd,sum_CI,Ave_CI,Macrorefugia,Hydrorefugia,Shape_Length,Shape_Area,HydroQuant,MacroQuant
38949.309999999997672,157.620000000000005,"AZ,NM",1.504E+11,Post Office Canyon-San Simon Valley,1.504E+11,-0.599198267,-0.377647287,-0.111722521,0.831662599,-0.37056351,-2.311495307,-0.430683564,0.205549303,-1.525488358,0.116173815,1.031410156627060,1.634218119583940,-1.011928094,0.164885838,0.54137053,0.746919833,0.373459916,0.54137053,0.205549303,59933.072074412048096,126391550.596921876072884,2,4
35166.700000000004366,142.310000000000002,"AZ,NM",1.504E+11,Sulphur Draw-San Simon River,1.504E+11,-0.599198267,-0.377647287,-0.111722521,0.351550381,-0.37056351,-1.731462262,-0.435624977,0.203781368,-1.525488358,0.116173815,1.031410156627060,1.634218119583940,-1.011928094,0.164885838,0.54137053,0.745151898,0.372575949,0.54137053,0.203781368,35097.821116889586847,47451068.424517646431923,2,4
37038.720000000001164,149.890000000000015,"AZ,NM",1.504E+11,Long Canyon-San Simon River,1.504E+11,-0.599198267,-0.377647287,-0.111722521,-0.110494004,-0.37056351,-1.50195426,-0.468164181,0.192139513,-1.525488358,0.116173815,1.031410156627060,1.634218119583940,-1.011928094,0.164885838,0.54137053,0.733510044,0.366755022,0.54137053,0.192139513,48904.230742993626336,117584633.918711081147194,2,4
36807.430000000000291,148.950000000000017,"AZ,NM",1.504E+11,Round Valley-San Simon River,1.504E+11,-0.599198267,-0.377647287,-0.111722521,-0.083769809,-0.37056351,-2.002493547,-0.50746915,0.178077009,-1.525488358,0.116173815,1.031410156627060,1.634218119583940,-1.011928094,0.164885838,0.54137053,0.719447539,0.359723769,0.54137053,0.178077009,45742.015184183510428,77158456.783800363540649,1,4
36033.059999999997672,145.819999999999993,"AZ,NM",1.504E+11,Wood Canyon-San Simon River,1.504E+11,-0.599198267,-0.377647287,-0.111722521,0.185581357,-0.37056351,-2.127346037,-0.487744549,0.185134063,-1.525488358,0.116173815,1.031410156627060,1.634218119583940,-1.011928094,0.164885838,0.54137053,0.726504593,0.363252297,0.54137053,0.185134063,35024.366025465213170,51303131.480564288794994,1,4
20253.799999999999272,81.960000000000008,"AZ,NM",1.504E+11,McGhee Peak-San Simon River,1.504E+11,-0.599198267,-0.377647287,-0.111722521,0.611528888,-0.37056351,-2.621023248,-0.481592441,0.18733516,-1.525488358,0.116173815,1.031410156627060,1.634218119583940,-1.011928094,0.164885838,0.54137053,0.72870569,0.364352845,0.54137053,0.18733516,31551.765524038703006,43550061.222563989460468,1,4
11425.510000000000218,46.240000000000002,"AZ,NM",1.504E+11,Vanar Wash,1.504E+11,-0.599198267,-0.377647287,-0.111722521,1.062868069701550,-0.37056351,-2.676294798,-0.435528942,0.203815727,-1.525488358,0.116173815,1.031410156627060,1.634218119583940,-1.011928094,0.164885838,0.54137053,0.745186257,0.372593128,0.54137053,0.203815727,19506.616948848863103,13309901.120552714914083,2,4
17772.779999999998836,71.920000000000002,"AZ,NM",1.504E+11,Steins Creek,1.504E+11,-0.599198267,-0.377647287,-0.111722521,0.797696953,-0.37056351,-2.091456395,-0.415902454,0.210837678,-1.525488358,0.116173815,1.031410156627060,1.634218119583940,-1.011928094,0.164885838,0.54137053,0.752208208,0.376104104,0.54137053,0.210837678,29631.343889240913995,28583744.219059571623802,2,4
12604.399999999999636,51.009999999999998,"AZ,NM",1.504E+11,Carlisle Canyon,1.504E+11,-0.699928333,-0.403212306,-1.161980525,1.662310265353670,0.025782324,-1.923595324,-0.263601322,0.265327872,-0.245363987,0.154893177,0.254053803,0.821242756,-0.34761163,0.11081842,0.523405788,0.78873366,0.39436683,0.523405788,0.265327872,59725.642898718622746,50927193.566416211426258,2,4
24727.959999999999127,100.070000000000007,"AZ,NM",1.504E+11,Horseshoe Wash,1.504E+11,-0.699928333,-0.403212306,-1.161980525,-0.746351311,0.025782324,-0.698068961,-0.430771083,0.20551799,-0.245363987,0.154893177,0.254053803,0.821242756,-0.34761163,0.11081842,0.523405788,0.728923778,0.364461889,0.523405788,0.20551799,31119.190242745931755,33950049.773537077009678,2,4
26441.720000000001164,107.010000000000005,"AZ,NM",1.504E+11,Round Mountain Draw,1.504E+11,-0.699928333,-0.403212306,-1.161980525,-0.629758439,0.025782324,-0.970044827,-0.440654067,0.201982063,-0.245363987,0.154893177,0.254053803,0.821242756,-0.34761163,0.11081842,0.523405788,0.725387852,0.362693926,0.523405788,0.201982063,7061.866459023939569,1758261.404259284958243,2,4
25545.330000000001746,103.379999999999995,NM,1.30202E+11,Lava Gate,1.30202E+11,-0.516264314,0.336947914,0.938535482,-0.114358382,1.155628762831260,0.168837796,0.39004585,0.499189306,-0.21666827,0.08818647,-0.719359379,-1.252192254,-0.77544224,-0.60030368,0.287124394,0.7863137,0.39315685,0.287124394,0.499189306,58385.752290295909916,103386714.508269250392914,4,1
