AREAACRES,AREASQKM,STATES,HUC12,NAME,TOHUC,PctSlowInfsH12,cti_mean,aspect_sh3_mean,geomorph_sh3_std,HLI_rev,HydroSumW,HydroCompositeStd,PctChange_Bio18_MEAN,PctChg_Bio14_MEAN,MeanDifSMCH12,Back_rcp45_rev,Diff_bio9_rev,Diff_bio5_rev,MeanDifETH12_rev,MacroSumW,MacroCompositeStd,sum_CI,Ave_CI,Macrorefugia,Hydrorefugia,Shape_Length,Shape_Area,HydroQuant,MacroQuant
28944.540000000000873,117.129999999999995,NM,1.30202E+11,Headwaters Borrego Canyon,1.30202E+11,-0.704485071,-1.295533637,0.303559834,-0.222017874,-0.207756998,-0.524667606,0.268856958,-0.250994026,-0.728268447,-0.035786397,-0.64009411,1.082538201993000,1.591020279531290,0.784047139,0.106681187,0.392152862,0.661009821,0.33050491,0.392152862,0.268856958,68988.524507815993275,117099698.017717406153679,1,4
19286.979999999999563,78.049999999999997,NM,1.30202E+11,Outlet Borrego Canyon,1.30202E+11,-0.620165828,-0.940421623,0.79313414,0.090671985,0.797609554,-0.169307161,0.332462682,-0.128902302,-0.412584341,-0.377371256,-0.734765092,0.097983114,1.755353661673700,0.050781122,-0.158321979,0.338897837,0.671360519,0.33568026,0.338897837,0.332462682,72035.137783194164513,78025047.398879244923592,2,2
14524.500000000000000,58.780000000000001,NM,1.30202E+11,Arroyo de la Vega de los Tanos,1.30202E+11,-1.151607045,-0.653069241,2.098265363712760,-0.626403912,0.391707889,-0.157818771,0.334518981,-0.136787967,0.134384507,-0.010038137,-0.785762944,-1.25051642,0.687220572,0.052975356,-0.123271751,0.34594153,0.68046051,0.340230255,0.34594153,0.334518981,49707.396145974482351,58752548.321159943938255,2,2
26120.729999999999563,105.710000000000008,NM,1.30202E+11,Town of Santo Domingo Pueblo-Rio Grande,1.30202E+11,-1.419782279,-0.18081553,1.872282934229810,1.245275543322430,0.779921341,0.468816656,0.446680028,-0.033621862,0.403014071,-0.296696321,-0.927112133,-0.186729695,0.273932188,-0.136302339,-0.177021977,0.335139887,0.781819914,0.390909957,0.335139887,0.446680028,73861.950915723515209,105664349.324484169483185,5,2
30841.250000000000000,124.810000000000002,NM,1.30202E+11,Santa Ana Mesa,1.30202E+11,-1.419782279,-0.293024448,-0.095098972,0.241091615,0.569060825,-0.242399274,0.319379974,-0.075283782,-0.271174627,-0.189317969,-0.785031946,0.398306871,2.359826317703230,-0.025973421,-0.06821451,0.35700583,0.676385805,0.338192902,0.35700583,0.319379974,66219.686506877682405,124770308.199766784906387,2,3
32127.010000000002037,130.009999999999991,NM,1.502E+11,Nicolas Spring-Largo Creek,1.502E+11,-0.436669849,0.037383894,0.135061109,0.612689418,-0.535261508,0.118160747,0.383916366,1.363726898861460,-0.50875578,-0.117576461,0.206633628,0.102288598,1.194724330784780,0.484909364,0.295918991,0.430182083,0.814098449,0.407049225,0.430182083,0.383916366,52305.857401289380505,130285104.330303519964218,4,4
19646.740000000001601,79.510000000000005,NM,1.502E+11,Chical Lake-Largo Creek,1.502E+11,0.491154743,0.246506261,-0.144804192,0.375014841,0.387689485,0.258536198,0.409042072,1.689906984758380,0.085640825,-0.341679138,0.283506348,0.227018804,1.656397901683610,0.522266014,0.41565934,0.454245099,0.863287171,0.431643585,0.454245099,0.409042072,49268.021346323017497,79684825.704577341675758,4,5
28525.750000000000000,115.439999999999998,NM,1.502E+11,Outlet Red Hill Draw,1.502E+11,-0.244967846,-0.417403993,0.28439398,0.237645397,0.262703208,-0.029114319,0.357555703,1.729404177876770,0.788125223,-0.405751181,0.945585252,1.032310432012790,2.199684553709480,0.891761359,0.754799937,0.522398779,0.879954481,0.439977241,0.522398779,0.357555703,55358.891495241514349,115715560.418955951929092,3,5
15516.350000000000364,62.789999999999999,NM,1.502E+11,Mayes Wash,1.502E+11,-0.356212575,-0.276612444,0.446791895,0.399929832,0.196107584,0.069787826,0.37525813,1.816935773443580,0.888952754,-0.390410398,0.973259971,0.971094554,2.021777236784530,0.80700942,0.753707761,0.522179295,0.897437425,0.448718713,0.522179295,0.37525813,56481.282914837676799,62949449.258762843906879,4,5
12329.210000000000946,49.890000000000001,NM,1.502E+11,La Draw,1.502E+11,-1.402010795,-0.060733837,0.212121971,-0.048667516,0.151923704,-0.218329396,0.323688225,1.797261967310420,0.179284499,-0.310902419,0.632059649,0.275367518,1.195098784158100,0.597928529,0.496133793,0.470417241,0.794105467,0.397052733,0.470417241,0.323688225,39752.909582632375532,50017157.605824194848537,2,5
